sentence,word,label
1,म्यूरियल,none
1,अब,none
1,बीस,none
1,साल,none
1,की,none
1,हो,none
1,गई,none
1,है,viram
2,म्यूरियल,none
2,अब,none
2,बीस,none
2,साल,none
2,की,none
2,है,viram
3,मैं,none 
3,इस,none
3,दुनिया,none
3,में,none
3,शिक्षा,none
3,पर,none
3,बहुत,none
3,निराश,none
3,हूँ,viram
4,वैसा,none 
4,नही,none
4,होगा,viram
5,मुझें,none
5,तुम्हारी,none
5,याद,none
5,आ,none
5,रही,none
5,है,viram
6,तुम्हें,none 
6,सोना,none
6,चाहिए,viram
7,आपको,none 
7,सोना,none
7,चाहिए,viram
8,मुझे,none 
8,जीव,none
8,विज्ञान,none
8,कभी,none
8,भी,none
8,पसंद,none
8,नहीं,none
8,था,viram
9,मैं,none 
9,नहीं,none
9,हूँ,comma
9,तुम,none
9,हो,exclamation
